district,year,month,rainfall_monthly,SPI1,SPI3
Bulandshahr,1991,5,0.26613742,-1.2225453421138357,-0.8305476796731414
Bulandshahr,1991,6,39.62884,-0.034771121784751016,-0.5206991294539057
Bulandshahr,1991,7,49.87088,-1.7783392443034935,-1.6957383130105785
Bulandshahr,1991,8,472.4375,1.8270702827822511,0.7251691496623854
Bulandshahr,1991,9,111.96365,0.28613240857071476,0.7231829886576266
Bulandshahr,1991,10,0.0,-0.7835003753897741,1.3493833226003724
Bulandshahr,1991,11,5.8616896,1.1244733650389345,0.1321414559861584
Bulandshahr,1991,12,16.943262,1.263672333398579,0.30716251070516165
Bulandshahr,1992,1,16.681757,0.6680568881434741,1.0643747688086205
Bulandshahr,1992,2,2.4797487,-0.4971346897304444,0.39368940203808905
Bulandshahr,1992,3,0.0,-0.9674215661017012,-0.4678416945189298
Bulandshahr,1992,4,0.0,-0.5729675484954635,-1.7550461097376215
Bulandshahr,1992,5,1.0776757,-0.9094565940371637,-2.2206441510616735
Bulandshahr,1992,6,13.983194,-0.9100660404012195,-1.4622102506129329
Bulandshahr,1992,7,207.25914,0.23145039841403203,-0.23029898203200377
Bulandshahr,1992,8,240.21817,0.5140807333865587,0.14145103592862585
Bulandshahr,1992,9,85.008415,-0.0025890775491416934,0.20888366592132104
Bulandshahr,1992,10,70.719765,1.5144169732610222,0.5211714124896187
Bulandshahr,1992,11,10.064169,1.5240551548024948,0.5414571760562021
Bulandshahr,1992,12,0.0,-0.38532046640756773,1.4857801995715407
Bulandshahr,1993,1,1.7185537,-0.5968467291718721,-0.1274324338493102
Bulandshahr,1993,2,17.810871,0.4750673325382242,-0.17029267868073494
Bulandshahr,1993,3,19.101717,0.8109952783606529,0.25347875509641316
Bulandshahr,1993,4,1.3858651,0.03460164209276708,0.5148939529968002
Bulandshahr,1993,5,17.076103,0.4655882200395876,0.4939108278227155
Bulandshahr,1993,6,96.80937,0.9759326915198027,0.8658960470255131
Bulandshahr,1993,7,145.00766,-0.35584731750369897,0.058304293825447585
Bulandshahr,1993,8,98.63348,-0.8122805745547608,-0.6880522492816711
